literka;Duże linie ukośne (w prawo);Małe linie ukośne (w prawo);Duże linie ukośne (w lewo);Małe linie ukośne (w lewo);Linie poziome;Duże linie pionowe;Małe linie pionowe;Duże łuki;Małe łuki;Okręgi;Pozycja okręgu;Przecięcia;wartość
ImpactA;1;0;1;0;1;0;0;0;0;0;0;2;0
Impacta;0;1;0;0;0;1;2;0;2;0;0;2;0
ImpactB;0;0;0;0;3;1;0;0;2;0;0;2;1
Impactb;0;0;0;0;0;2;0;0;2;0;0;2;1
RobotoA;1;0;1;0;1;0;0;0;0;0;0;2;0
Robotoa;0;0;0;0;1;0;2;0;3;0;0;2;0
RobotoB;0;0;0;0;3;1;0;0;2;0;0;2;1
Robotob;0;0;0;0;0;1;0;0;0;1;4;2;1
ThunderbirdA;1;0;1;0;4;0;0;0;0;0;0;5;0
Thunderbirda;1;0;1;0;4;0;0;0;0;0;0;5;0
ThunderbirdB;0;0;0;0;3;1;2;0;0;0;0;4;1
Thunderbirdb;0;0;0;0;3;1;2;0;0;0;0;4;1
FuturaA;1;0;1;0;1;0;0;0;0;0;0;2;0
Futuraa;0;0;0;0;0;0;1;0;0;1;1;2;0
FuturaB;0;0;0;0;3;1;0;0;2;0;0;2;1
Futurab;0;0;0;0;0;1;0;0;0;1;4;2;1
EternalUIA;1;0;1;0;1;0;0;0;0;0;0;2;0
EternalUIa;0;0;0;3;3;0;2;0;0;0;0;1;0
EternalUIB;0;1;0;1;3;1;2;0;0;0;0;2;1
EternalUIb;0;1;0;1;2;1;1;0;0;0;0;1;1
AlluraA;1;1;0;0;1;0;0;1;3;0;0;2;0
Alluraa;0;1;0;0;0;0;0;0;2;0;0;0;0
AlluraB;1;0;0;0;0;0;0;2;1;0;0;0;1
Allurab;2;0;0;0;0;0;0;0;2;0;0;1;1
ComicSansA;1;1;1;0;0;0;0;0;0;0;0;2;0
ComicSansa;0;0;0;0;0;0;1;0;0;1;1;1;0
ComicSansB;0;0;0;0;2;1;0;0;2;0;0;2;1
ComicSansb;0;0;0;0;0;1;0;0;0;1;4;2;1
PricedownA;0;0;0;0;3;2;0;0;0;0;0;2;0
Pricedowna;0;0;0;0;3;1;1;0;0;0;0;1;0
PricedownB;0;0;0;0;3;2;0;0;0;0;0;2;1
Pricedownb;0;0;0;0;2;2;0;0;0;0;0;1;1
BauhausA;0;0;0;0;1;2;0;0;1;0;0;1;0
Bauhausa;0;0;0;0;0;0;1;0;1;0;0;0;0
BauhausB;0;0;0;0;1;1;0;0;2;0;0;0;1
Bauhausb;0;0;0;0;0;1;0;0;1;0;0;0;1
BrushScriptA;2;1;0;0;1;0;0;0;0;0;0;2;0
BrushScripta;0;1;0;0;0;0;0;0;2;0;0;0;0
BrushScriptB;1;0;0;0;0;0;0;2;0;0;0;2;1
BrushScriptb;0;1;0;0;0;0;0;2;1;0;0;2;1
ChillerA;0;0;1;0;1;1;0;0;0;0;0;2;0
Chillera;0;0;0;1;0;0;0;0;2;0;0;2;0
ChillerB;0;0;0;0;2;1;0;0;3;0;0;2;1
Chillerb;0;0;0;0;0;1;0;0;1;0;0;1;1
HarryA;1;0;1;0;0;0;0;0;2;0;0;2;0
Harrya;0;1;0;1;0;0;1;0;0;0;0;0;0
HarryB;0;3;0;1;0;1;2;0;0;0;0;2;1
Harryb;0;2;0;2;0;1;1;0;0;0;0;2;1
KristenA;0;0;1;0;0;0;0;2;0;0;0;2;0
Kristena;0;0;0;0;0;0;1;0;1;1;3;2;0
KristenB;0;0;0;0;0;1;0;2;0;0;0;1;1
Kristenb;0;0;0;0;0;1;0;0;0;1;4;2;1
MistralA;1;1;0;0;0;1;0;0;1;0;0;2;0
Mistrala;0;2;0;0;0;0;0;0;2;0;0;0;0
MistralB;0;2;0;1;0;1;0;0;1;0;0;2;1
Mistralb;0;2;0;1;0;0;0;1;0;0;0;2;1
FedoraA;1;0;0;0;1;1;0;0;0;0;0;2;0
Fedoraa;1;0;0;0;1;1;0;0;0;0;0;2;0
FedoraB;1;0;0;0;2;0;0;1;1;0;0;3;1
Fedorab;1;0;0;0;2;0;0;0;2;0;0;3;1
HoboA;0;0;0;0;1;0;0;2;0;0;0;2;0
Hoboa;0;0;0;0;0;1;0;0;2;0;0;2;0
HoboB;0;0;0;0;2;1;0;0;2;0;0;2;1
Hobob;0;0;0;0;2;1;0;1;0;0;0;1;1
DanceA;0;0;1;0;1;0;0;1;1;0;0;2;0
Dancea;0;0;0;1;0;0;0;0;1;1;3;2;0
DanceB;0;0;1;0;0;0;0;0;2;0;0;3;1
Danceb;0;0;1;0;0;0;0;0;0;1;4;1;1
MacMenuA;0;0;0;0;2;2;0;0;0;0;0;2;0
MacMenua;0;0;0;0;3;0;2;0;0;0;0;1;0
MacMenuB;0;0;0;0;3;1;2;0;0;0;0;1;1
MacMenub;0;0;0;0;2;1;1;0;0;0;0;1;1
GabriolaA;1;0;1;0;1;0;0;0;0;0;0;2;0
Gabriolaa;0;0;0;0;0;0;1;0;1;1;3;1;0
GabriolaB;0;0;0;0;1;1;0;0;2;0;0;2;1
Gabriolab;0;0;0;0;0;1;0;0;0;1;4;1;1
DokumentA;0;0;0;0;0;0;0;3;0;0;0;2;0
Dokumenta;0;0;0;0;0;0;1;0;1;1;1;1;0
DokumentB;0;0;0;0;1;1;0;2;1;0;0;2;1
Dokumentb;0;0;0;0;0;0;1;0;1;1;4;1;1
EnergiaA;0;0;0;0;1;2;0;0;1;0;0;2;0
Energiaa;0;0;0;0;3;0;3;0;0;0;0;1;0
EnergiaB;0;0;0;0;1;1;2;0;2;0;0;2;1
Energiab;0;0;0;0;2;1;1;0;0;0;0;1;1
